School,Principal,Address,Phone
Aloha-Huber Park, Scott Drue, 5000 SW 173rd Ave.  Beaverton OR 97078, (503) 356-2000
Barnes, Paul Marietta, 13730 SW Walker Rd  Beaverton OR 97005, (503) 356-2130
Beaver Acres, Stacy Geale, 2125 SW 170 Ave.  Beaverton OR 97003, (503) 356-2020
Bethany, Casey Lange, 3305 NW 174th  Beaverton OR 97006, (503) 356-2030
Bonny Slope, Janet Maza, 11775 NW McDaniel Rd.  Portland OR  97229, (503) 356-2040
Cedar Mill, Amy Chamberlain, 10265 N.W. Cornell Road  Portland Oregon 97229, (503) 356-2050
Chehalem, Angee Silliman, 15555 SW Davis Road  Beaverton OR 97007 (503) 356-2060, 
Cooper Mountain, Kristin LeMon, 7670 SW 170th Avenue  Beaverton OR 97007, (503) 356-2070
Elmonica, Cynthia Lam Moffett, 16950 SW Lisa St.  Beaverton Oregon 97006, (503) 356-2080
Errol Hassell, Scarlet Valentine, 18100 SW Bany Road  Aloha Oregon 97007, (503) 356-2090
Findley, Sherry Marsh, 4155 NW Saltzman Road  Portland Oregon 97229, (503) 356-2100
Fir Grove, Erin Miles, 6300 S. W. Wilson Ave.  Beaverton OR. 97008, (503) 356-2110
Greenway, Jennifer Whitten, 9150 SW Downing Drive  Beaverton OR 97008, (503) 356-2120
Hazeldale, Angela Tran, 20080 SW Farmington  Beaverton OR 97007, (503) 356-2010
Hiteon, Meghan Warren, 13800 SW Brockman Rd  Beaverton Oregon 97008, (503) 356-2140
Jacob Wismer, Joan McFadden, 5477 NW Skycrest Parkway  Portland OR 97229, (503) 356-2150
Kinnaman, Ashlee Hudson, 4205 SW 193rd Ave  Beaverton OR 97078, (503) 356-2420
Mckay, Erin Kollings, 7485 S.W. Scholls Ferry Road  Beaverton Oregon 97008, (503) 356-2170
McKinley, Aki Mori, 1500 N.W. 185th Ave.  Beaverton OR 97006, (503) 356-2180
Montclair, Sean Leverty, 7250 SW Vermont  Portland Oregon 97223, (503) 356-2190
Nancy Ryles, Kayla Bell, 10250 SW Cormorant Drive  Beaverton OR 97007, (503) 356-2400
Oak Hills, Sheila Baumgardner, 2625 NW 153rd Avenue  Beaverton OR 97006, (503) 356-2410
Raleigh Hills, Peter McDougal, 5225 SW Scholls Ferry Road  Portland OR 97225, (503) 356-2160
Raleigh Park, Brian Curl, 3670 SW 78th Avenue  Portland OR 97225, (503) 356-2500
Ridgewood, Cary Meier, 10100 SW Inglewood St  Portland OR 97225, (503) 356-2440
Rock Creek, Tiffany Wiencken, 4125 NW 185th Ave  Portland OR 97229, (503) 356-2450
Sato, Annie Pleau, 7775 NW Kaiser Road  Portland OR 97229, (503) 356-2530
Scholls Heights, Tracy Bariao-Arce, 16400 SW Loon Dr  Beaverton OR 97007, (503) 356-2460
Sexton Mountain, Cherie Reese, 15645 SW Sexton Mountain Drive  Beaverton OR 97007, (503) 356-2470
Springville, Robin Kobrowski, 6655 NW Joss Avenue  Portland OR 97229, (503) 356-2480
Terra Linda, Christy Batsell, 1998 NW 143rd  Portland Oregon 97229, (503) 356-2490
Vose, Monique Singleton, 11350 S.W. Denney Rd.  Beaverton OR 97008, (503) 356-2430
West Tualatin View, Kalay McNamee, 8800 SW Leahy Road  Portland OR 97225 (503) 356-2510, 
William Walker, Melissa Murray, 650 NW 118th Ave  Portland OR 97229 (503) 356-2520, 
Cedar Park, Shannon Anderson, 11100 SW Park Way  Portland OR 97225 (503) 356-2560, 
Conestoga, Zan Hess, 12250 SW Conestoga Dr.  Beaverton OR 97008, (503) 356-2580
Five Oaks, Shirley Brock, 1600 NW 173rd Ave.  Beaverton OR 97006, (503) 356-2600
Highland Park, Curtis Semana, 7000 SW Wilson Ave.  Beaverton OR 97008, (503) 356-2620
Meadow Park, Jared Freeman, 14100 SW Downing St.  Beaverton OR 97006, (503) 356-2640
Mountain View, Wendy Rider, 17500 SW Farmington Rd.  Beaverton OR 97007, (503) 356-2660
Stoller, Veronica Galvan, 14141 NW Laidlaw  Portland OR 97229, (503) 356-2680
Whitford, Brian Peerenboom, 7935 SW Scholls Ferry Rd.  Beaverton OR 97008, (503) 356-2700
Aloha, Matt Casteel, 18550 SW Kinnaman Rd.  Beaverton OR 97078, (503) 356-2760
Beaverton, Anne Erwin, 13000 SW Second St.  Beaverton OR 97005, (503) 356-2830
Mountainside, Todd Corsetti, 12500 SW 175th Avenue Beaverton OR 97007, (503) 356-3500
Southridge, David Nieslanik, 9625 SW 125th Avenue  Beaverton OR 97008, (503) 356-2890
Sunset, John Huelskamp, 13840 NW Cornell Rd.  Portland OR 97229, (503) 356-2960
Westview, Matt Pedersen, 4200 NW 185th Ave.  Portland OR 97229 (503) 356-3020, 
Aloha-Huber Park, Scott Drue, 5000 SW 173rd Ave.  Beaverton OR 97078, (503) 356-2000
Arts & Communication Middle School, Bjorn Paige, 11375 SW Center St  Beaverton OR 97005 (503) 356-3670, 
Health & Science School, Andrew Cronk, 18640 NW Walker Road  Beaverton OR 97006, (503) 356-3630
ISB Middle School, Jill O'Neill, 17770 SW Blanton Street  Beaverton OR 97078, (503) 356-3690
Rachel Carson School of Environmental Science, Shirley Brock, 650 NW 118th Ave.   Portland OR 97229, (503) 356-2600
Raleigh Hills, Peter McDougal, 5225 SW Scholls Ferry Road  Portland OR 97225, (503) 356-2160
Springville, Robin Kobrowski, 6655 NW Joss Avenue  Portland OR 97229, (503) 356-2480
Arts & Communication High School, Bjorn Paige, 11375 SW Center St  Beaverton OR 97005 (503) 356-3670, 
Health & Science School, Andrew Cronk, 18640 NW Walker Road  Beaverton OR 97006, (503) 356-3630
ISB High School, Jill O'Neill, 17771 SW Blanton Street  Beaverton OR 97078, (503) 356-3690
School of Science & Technology, Andrew Cronk, 18640 NW Walker Rd    Beaverton OR 97006 (503) 356-3630, 
Automotive Technology (Aloha High School), Matt Casteel, 18550 SW Kinnaman Rd.  Beaverton OR 97078 (503) 356-2760, 
Health Careers (Beaverton High), Anne Erwin, 13000 SW Second St.   Beaverton OR 97005 (503) 356-2854, 
Terra Nova School of Science & Sustainability, Michael Crandall, 10351 NW Thompson Rd.   Portland OR 97229 (503) 356-3710, 
Early College High School, Michael Crandall, 17705 NW Springville Rd.   Portland OR 97229 (971) 722-7473, 
Merlo Station Community High School, Rachel Sip, 1841 SW Merlo Dr.   Beaverton OR 97003 (503) 356-3650, 
Bridges Academy, Yoonwa Saecho, 18640 NW Walker Road Suite C  Beaverton OR 97006, (503) 356-3715
Passages, Rachel Sip, 1841 SW Merlo Dr.   Beaverton OR 97003 (503) 259-5575, 
Arco Iris Spanish Immersion School, Bob Kaminski, 13600 SW Allen Blvd  Beaverton OR 97005, (503) 473-0416
Hope Chinese Charter School, Julie Rickman, 3500 SW 104th Avenue  Beaverton Oregon 97005 (971) 226-7500, 
