,School,Principal,Address,Phone,LAT,LON
0,Aloha-Huber Park, Scott Drue, 5000 SW 173rd Ave.  Beaverton OR 97078, (503) 356-2000,45.483953,-122.8538441
1,Barnes, Paul Marietta, 13730 SW Walker Rd  Beaverton OR 97005, (503) 356-2130,45.5062355,-122.8184151
2,Beaver Acres, Stacy Geale, 2125 SW 170 Ave.  Beaverton OR 97003, (503) 356-2020,45.5045773,-122.853881
3,Bethany, Casey Lange, 3305 NW 174th  Beaverton OR 97006, (503) 356-2030,45.5428655,-122.8580159
4,Bonny Slope, Janet Maza, 11775 NW McDaniel Rd.  Portland OR  97229, (503) 356-2040,45.5394583,-122.7975344
5,Cedar Mill, Amy Chamberlain, 10265 N.W. Cornell Road  Portland Oregon 97229, (503) 356-2050,45.5275243,-122.7829547
6,Chehalem, Angee Silliman, 15555 SW Davis Road  Beaverton OR 97007 (503) 356-2060, ,45.4758489,-122.837272
7,Cooper Mountain, Kristin LeMon, 7670 SW 170th Avenue  Beaverton OR 97007, (503) 356-2070,45.4643054,-122.8510227
8,Elmonica, Cynthia Lam Moffett, 16950 SW Lisa St.  Beaverton Oregon 97006, (503) 356-2080,45.5164812,-122.8526983
9,Errol Hassell, Scarlet Valentine, 18100 SW Bany Road  Aloha Oregon 97007, (503) 356-2090,45.466584,-122.863246
10,Findley, Sherry Marsh, 4155 NW Saltzman Road  Portland Oregon 97229, (503) 356-2100,45.549864,-122.812033
11,Fir Grove, Erin Miles, 6300 S. W. Wilson Ave.  Beaverton OR. 97008, (503) 356-2110,45.473788,-122.817369
12,Greenway, Jennifer Whitten, 9150 SW Downing Drive  Beaverton OR 97008, (503) 356-2120,45.4537097,-122.8018328
13,Hazeldale, Angela Tran, 20080 SW Farmington  Beaverton OR 97007, (503) 356-2010,45.4692327,-122.8841264
14,Hiteon, Meghan Warren, 13800 SW Brockman Rd  Beaverton Oregon 97008, (503) 356-2140,45.4540728,-122.8189851
15,Jacob Wismer, Joan McFadden, 5477 NW Skycrest Parkway  Portland OR 97229, (503) 356-2150,45.5603695,-122.8230793
16,Kinnaman, Ashlee Hudson, 4205 SW 193rd Ave  Beaverton OR 97078, (503) 356-2420,45.4900314,-122.876459
17,Mckay, Erin Kollings, 7485 S.W. Scholls Ferry Road  Beaverton Oregon 97008, (503) 356-2170,45.465543,-122.7783403
18,McKinley, Aki Mori, 1500 N.W. 185th Ave.  Beaverton OR 97006, (503) 356-2180,45.5302191,-122.8660416
19,Montclair, Sean Leverty, 7250 SW Vermont  Portland Oregon 97223, (503) 356-2190,45.4758657,-122.7513036
20,Nancy Ryles, Kayla Bell, 10250 SW Cormorant Drive  Beaverton OR 97007, (503) 356-2400,45.44522389999999,-122.8434341
21,Oak Hills, Sheila Baumgardner, 2625 NW 153rd Avenue  Beaverton OR 97006, (503) 356-2410,45.5388863,-122.8360763
22,Raleigh Hills, Peter McDougal, 5225 SW Scholls Ferry Road  Portland OR 97225, (503) 356-2160,45.4823987,-122.7581473
23,Raleigh Park, Brian Curl, 3670 SW 78th Avenue  Portland OR 97225, (503) 356-2500,45.4932879,-122.7559763
24,Ridgewood, Cary Meier, 10100 SW Inglewood St  Portland OR 97225, (503) 356-2440,45.50253499999999,-122.780987
25,Rock Creek, Tiffany Wiencken, 4125 NW 185th Ave  Portland OR 97229, (503) 356-2450,45.5491614,-122.8685893
26,Sato, Annie Pleau, 7775 NW Kaiser Road  Portland OR 97229, (503) 356-2530,45.57531909999999,-122.8383975
27,Scholls Heights, Tracy Bariao-Arce, 16400 SW Loon Dr  Beaverton OR 97007, (503) 356-2460,45.4306423,-122.8453445
28,Sexton Mountain, Cherie Reese, 15645 SW Sexton Mountain Drive  Beaverton OR 97007, (503) 356-2470,45.4588484,-122.8377968
29,Springville, Robin Kobrowski, 6655 NW Joss Avenue  Portland OR 97229, (503) 356-2480,45.5682601,-122.8512161
30,Terra Linda, Christy Batsell, 1998 NW 143rd  Portland Oregon 97229, (503) 356-2490,45.5331719,-122.8205311
31,Vose, Monique Singleton, 11350 S.W. Denney Rd.  Beaverton OR 97008, (503) 356-2430,45.4684302,-122.7937567
32,West Tualatin View, Kalay McNamee, 8800 SW Leahy Road  Portland OR 97225 (503) 356-2510, ,45.51502139999999,-122.7666224
33,William Walker, Melissa Murray, 650 NW 118th Ave  Portland OR 97229 (503) 356-2520, ,45.5242762,-122.7980079
34,Cedar Park, Shannon Anderson, 11100 SW Park Way  Portland OR 97225 (503) 356-2560, ,45.5062072,-122.7924259
35,Conestoga, Zan Hess, 12250 SW Conestoga Dr.  Beaverton OR 97008, (503) 356-2580,45.4467453,-122.8026698
36,Five Oaks, Shirley Brock, 1600 NW 173rd Ave.  Beaverton OR 97006, (503) 356-2600,45.5307448,-122.8534395
37,Highland Park, Curtis Semana, 7000 SW Wilson Ave.  Beaverton OR 97008, (503) 356-2620,45.4692195,-122.8183965
38,Meadow Park, Jared Freeman, 14100 SW Downing St.  Beaverton OR 97006, (503) 356-2640,45.514864,-122.8239809
39,Mountain View, Wendy Rider, 17500 SW Farmington Rd.  Beaverton OR 97007, (503) 356-2660,45.4790581,-122.8560026
40,Stoller, Veronica Galvan, 14141 NW Laidlaw  Portland OR 97229, (503) 356-2680,45.5571347,-122.8225582
41,Whitford, Brian Peerenboom, 7935 SW Scholls Ferry Rd.  Beaverton OR 97008, (503) 356-2700,45.4631543,-122.7822022
42,Aloha, Matt Casteel, 18550 SW Kinnaman Rd.  Beaverton OR 97078, (503) 356-2760,45.4845388,-122.8677503
43,Beaverton, Anne Erwin, 13000 SW Second St.  Beaverton OR 97005, (503) 356-2830,45.48656949999999,-122.8116603
44,Mountainside, Todd Corsetti, 12500 SW 175th Avenue Beaverton OR 97007, (503) 356-3500,45.4285671,-122.8555895
45,Southridge, David Nieslanik, 9625 SW 125th Avenue  Beaverton OR 97008, (503) 356-2890,45.450316,-122.8075512
46,Sunset, John Huelskamp, 13840 NW Cornell Rd.  Portland OR 97229, (503) 356-2960,45.5280907,-122.820294
47,Westview, Matt Pedersen, 4200 NW 185th Ave.  Portland OR 97229 (503) 356-3020, ,45.5503237,-122.8659474
48,Aloha-Huber Park, Scott Drue, 5000 SW 173rd Ave.  Beaverton OR 97078, (503) 356-2000,45.483953,-122.8538441
49,Arts & Communication Middle School, Bjorn Paige, 11375 SW Center St  Beaverton OR 97005 (503) 356-3670, ,45.49451639999999,-122.7942162
50,Health & Science School, Andrew Cronk, 18640 NW Walker Road  Beaverton OR 97006, (503) 356-3630,45.5270641,-122.8698849
51,ISB Middle School, Jill O'Neill, 17770 SW Blanton Street  Beaverton OR 97078, (503) 356-3690,45.4903044,-122.8599149
52,Rachel Carson School of Environmental Science, Shirley Brock, 650 NW 118th Ave.   Portland OR 97229, (503) 356-2600,45.52422079999999,-122.7974509
53,Raleigh Hills, Peter McDougal, 5225 SW Scholls Ferry Road  Portland OR 97225, (503) 356-2160,45.4823987,-122.7581473
54,Springville, Robin Kobrowski, 6655 NW Joss Avenue  Portland OR 97229, (503) 356-2480,45.5682601,-122.8512161
